DEBUG 2020-05-18 13:37:37,741 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyABPSite.Users.Dto.CreateUserDto
DEBUG 2020-05-18 13:37:37,743 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyABPSite.Users.Dto.UserDto
DEBUG 2020-05-18 13:37:37,744 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyABPSite.Sessions.Dto.TenantLoginInfoDto
DEBUG 2020-05-18 13:37:37,744 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyABPSite.Sessions.Dto.UserLoginInfoDto
DEBUG 2020-05-18 13:37:37,744 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyABPSite.Roles.Dto.PermissionDto
DEBUG 2020-05-18 13:37:37,744 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyABPSite.MultiTenancy.Dto.CreateTenantDto
DEBUG 2020-05-18 13:37:37,745 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyABPSite.MultiTenancy.Dto.TenantDto
DEBUG 2020-05-18 13:37:37,745 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyABPSite.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2020-05-18 13:37:37,745 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyABPSite.Web.Models.Roles.EditRoleModalViewModel
INFO  2020-05-18 13:37:43,451 [1    ] tCore.Builder.RequestLocalizationOptions - Supported Request Localization Cultures: en,es-MX,fr,de,it,nl,pt-BR,tr,ru,ar,ja,zh-Hans
INFO  2020-05-18 13:37:44,148 [1    ] taProtection.KeyManagement.XmlKeyManager - User profile is available. Using 'C:\Users\JasonYang\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
INFO  2020-05-18 13:37:44,232 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/  
INFO  2020-05-18 13:37:44,325 [4    ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2020-05-18 13:37:44,405 [4    ] uthorization.DefaultAuthorizationService - Authorization failed.
INFO  2020-05-18 13:37:44,413 [4    ] tion.Cookies.CookieAuthenticationHandler - AuthenticationScheme: Identity.Application was challenged.
